tenant_ids,choose_u,group_id,priority,choose_house_id,wait_turn,IWT,family_members_num,house_size,avg_area
1,18.0,family_num=1,False,house_25,1.0,1.0,1.0,42.2,42.2
66,10.2,family_num>3,True,house_65,2.0,1.0,4.0,49.07,12.2675
58,14.0,family_num=1,False,house_10,1.0,1.0,1.0,38.05,38.05
67,14.5,3>=family_num>=2,False,house_51,2.0,1.0,2.0,46.1,23.05
63,16.0,3>=family_num>=2,False,house_85,2.0,2.0,2.0,48.7,24.35
59,16.0,3>=family_num>=2,False,house_83,1.0,1.0,2.0,48.35,24.175
2,12.8,3>=family_num>=2,False,house_74,3.0,3.0,3.0,42.82,14.273333333333333
56,17.0,family_num=1,False,house_30,1.0,1.0,1.0,44.6,44.6
60,14.9,3>=family_num>=2,False,house_13,3.0,2.0,2.0,38.25,19.125
61,17.6,3>=family_num>=2,False,house_64,3.0,3.0,3.0,48.75,16.25
23,17.0,3>=family_num>=2,False,house_29,3.0,2.0,2.0,44.5,22.25
49,14.0,family_num=1,False,house_19,2.0,1.0,1.0,27.76,27.76
26,17.0,family_num=1,True,house_98,1.0,1.0,1.0,44.5,44.5
33,14.4,3>=family_num>=2,True,house_17,3.0,2.0,2.0,38.6,19.3
32,16.0,family_num=1,True,house_99,1.0,1.0,1.0,44.51,44.51
46,16.0,family_num=1,False,house_94,1.0,1.0,1.0,44.4,44.4
27,16.6,family_num>3,False,house_4,2.0,2.0,4.0,61.7,15.425
24,15.0,3>=family_num>=2,False,house_78,4.0,4.0,3.0,60.3,20.099999999999998
40,13.0,3>=family_num>=2,True,house_52,1.0,1.0,2.0,44.3,22.15
55,16.2,3>=family_num>=2,False,house_71,5.0,5.0,3.0,42.82,14.273333333333333
53,12.6,family_num>3,False,house_54,5.0,5.0,4.0,58.54,14.635
69,0.0,3>=family_num>=2,False,None,10.0,2.0,3.0,0.0,0.0
0,0.0,3>=family_num>=2,False,None,10.0,1.0,2.0,0.0,0.0
68,0.0,family_num=1,True,None,10.0,1.0,1.0,0.0,0.0
65,0.0,family_num=1,False,None,10.0,2.0,1.0,0.0,0.0
64,0.0,3>=family_num>=2,False,None,9.0,3.0,3.0,0.0,0.0
62,0.0,family_num>3,False,None,9.0,4.0,4.0,0.0,0.0
57,0.0,family_num>3,True,None,8.0,4.0,4.0,0.0,0.0
54,0.0,3>=family_num>=2,False,None,8.0,2.0,2.0,0.0,0.0
52,0.0,3>=family_num>=2,False,None,7.0,3.0,2.0,0.0,0.0
39,0.0,family_num=1,False,None,7.0,1.0,1.0,0.0,0.0
51,0.0,3>=family_num>=2,False,None,7.0,7.0,3.0,0.0,0.0
50,0.0,3>=family_num>=2,False,None,7.0,7.0,2.0,0.0,0.0
28,0.0,3>=family_num>=2,True,None,6.0,1.0,2.0,0.0,0.0
36,0.0,3>=family_num>=2,False,None,6.0,4.0,2.0,0.0,0.0
38,0.0,family_num>3,False,None,6.0,6.0,4.0,0.0,0.0
37,0.0,family_num>3,False,None,6.0,6.0,4.0,0.0,0.0
47,0.0,family_num>3,True,None,6.0,6.0,4.0,0.0,0.0
30,0.0,3>=family_num>=2,False,None,5.0,5.0,2.0,0.0,0.0
35,0.0,3>=family_num>=2,False,None,5.0,5.0,3.0,0.0,0.0
48,0.0,3>=family_num>=2,False,None,5.0,5.0,2.0,0.0,0.0
45,0.0,3>=family_num>=2,False,None,5.0,5.0,2.0,0.0,0.0
43,0.0,family_num>3,False,None,5.0,5.0,5.0,0.0,0.0
44,0.0,3>=family_num>=2,False,None,4.0,4.0,3.0,0.0,0.0
41,0.0,3>=family_num>=2,False,None,4.0,4.0,3.0,0.0,0.0
25,0.0,3>=family_num>=2,False,None,4.0,4.0,2.0,0.0,0.0
42,0.0,3>=family_num>=2,False,None,4.0,4.0,2.0,0.0,0.0
12,0.0,family_num>3,False,None,4.0,4.0,4.0,0.0,0.0
13,0.0,family_num=1,True,None,4.0,1.0,1.0,0.0,0.0
9,0.0,3>=family_num>=2,False,None,3.0,3.0,3.0,0.0,0.0
8,0.0,3>=family_num>=2,False,None,3.0,3.0,2.0,0.0,0.0
